id;nome;descricao;imagem;imagem_content_type;preco;promocao
1;back-end;bandwidth Handcrafted;../fake-data/blob/hipster.png;image/png;53566;true
2;bypass;motivating Dinar;../fake-data/blob/hipster.png;image/png;8571;false
3;Berkshire online;olive Card transmitting;../fake-data/blob/hipster.png;image/png;97251;true
4;Georgia;generation Cuba encryption;../fake-data/blob/hipster.png;image/png;25747;true
5;Multi-channelled compressing;calculating;../fake-data/blob/hipster.png;image/png;19459;true
6;Loan Engineer;Tasty Music turn-key;../fake-data/blob/hipster.png;image/png;29703;true
7;Principal mobile Keyboard;Chair;../fake-data/blob/hipster.png;image/png;32362;true
8;Avon;Quality payment mesh;../fake-data/blob/hipster.png;image/png;98016;true
9;Canada Chair;Executive TCP;../fake-data/blob/hipster.png;image/png;79974;true
10;innovative;synergize task-force;../fake-data/blob/hipster.png;image/png;18325;false
