id;nome;descricao;imagem;imagem_content_type;preco;promocao;ativo
1;intuitive Concrete;withdrawal Representative;../fake-data/blob/hipster.png;image/png;31191;false;false
2;Security;Montana;../fake-data/blob/hipster.png;image/png;22570;false;true
3;Cambridgeshire Key circuit;implement SSL;../fake-data/blob/hipster.png;image/png;59475;false;false
4;embrace;Rustic program;../fake-data/blob/hipster.png;image/png;50038;true;true
5;Georgia connecting models;cross-platform auxiliary viral;../fake-data/blob/hipster.png;image/png;13279;true;true
6;Ergonomic;Germany Internal;../fake-data/blob/hipster.png;image/png;42755;true;false
7;Shilling;copy;../fake-data/blob/hipster.png;image/png;4440;true;true
8;SSL;forecast redefine Optimized;../fake-data/blob/hipster.png;image/png;668;true;false
9;scale Parks Cambridgeshire;Automotive Baby;../fake-data/blob/hipster.png;image/png;18702;true;false
10;payment;Dynamic Cotton;../fake-data/blob/hipster.png;image/png;46230;true;false
