id;nome;descricao;imagem;imagem_content_type;preco;promocao;ativo
1;Supervisor Card;Borders hacking Direct;../fake-data/blob/hipster.png;image/png;11766;true;false
2;Card;Bahraini Unbranded Tala;../fake-data/blob/hipster.png;image/png;10243;false;true
3;Iceland encompassing;Drive;../fake-data/blob/hipster.png;image/png;83603;true;true
4;Somali;Loan Buckinghamshire Baby;../fake-data/blob/hipster.png;image/png;1848;true;false
5;invoice Incredible;function HDD;../fake-data/blob/hipster.png;image/png;3428;true;true
6;grow cross-platform;Bacon Designer Nevada;../fake-data/blob/hipster.png;image/png;88215;true;true
7;deposit;maximize Intelligent Market;../fake-data/blob/hipster.png;image/png;10544;true;false
8;withdrawal reboot;Oklahoma 24/7 optimize;../fake-data/blob/hipster.png;image/png;97878;true;true
9;Tools Trail SDD;calculate Avon concept;../fake-data/blob/hipster.png;image/png;22350;false;true
10;alarm Tasty;Frozen Comoro Home;../fake-data/blob/hipster.png;image/png;86987;true;true
