id;nome;descricao;imagem;imagem_content_type;preco;promocao;ativo
1;Burg Card maroon;hack Account programming;../fake-data/blob/hipster.png;image/png;82316;true;false
2;Paradigm USB Savings;Handcrafted Handcrafted;../fake-data/blob/hipster.png;image/png;40968;true;false
3;indexing Avon;Principal open-source up;../fake-data/blob/hipster.png;image/png;69525;true;true
4;Road Assurance;Colorado parsing;../fake-data/blob/hipster.png;image/png;95167;false;true
5;Wall hack scale;Keyboard Fords;../fake-data/blob/hipster.png;image/png;75439;false;true
6;Regional Ways;Belize;../fake-data/blob/hipster.png;image/png;46560;true;false
7;Beauty array Grocery;distributed Clothing transmitter;../fake-data/blob/hipster.png;image/png;45066;false;true
8;California invoice Kansas;up out-of-the-box Cambridgeshire;../fake-data/blob/hipster.png;image/png;71873;true;false
9;sexy Coves Intelligent;Islands;../fake-data/blob/hipster.png;image/png;17676;false;true
10;Avon;Berkshire orchestrate digital;../fake-data/blob/hipster.png;image/png;97973;false;true
