id;nome;descricao;imagem;imagem_content_type;preco;promocao;ativo
1;Shoes;asynchronous;../fake-data/blob/hipster.png;image/png;38819;true;false
2;Direct Baby;red Solutions;../fake-data/blob/hipster.png;image/png;38270;false;false
3;Dominican;reboot repurpose;../fake-data/blob/hipster.png;image/png;57271;false;true
4;Cambridgeshire Russian Bike;Iran deposit projection;../fake-data/blob/hipster.png;image/png;60229;false;true
5;Garden Oklahoma Wooden;Small defect;../fake-data/blob/hipster.png;image/png;94673;false;true
6;Fantastic tangible Sausages;wireless THX;../fake-data/blob/hipster.png;image/png;55204;true;false
7;Home South mindshare;microchip South;../fake-data/blob/hipster.png;image/png;74300;false;true
8;Account pink;implement frictionless;../fake-data/blob/hipster.png;image/png;62150;false;true
9;Computer auxiliary;Intelligent open-source;../fake-data/blob/hipster.png;image/png;21125;false;false
10;Direct Brooks;Home 5th Fresh;../fake-data/blob/hipster.png;image/png;155;false;false
