id;nome;descricao;imagem;imagem_content_type;preco;promocao
1;Tools Assimilated panel;Gambia;../fake-data/blob/hipster.png;image/png;70231;false
2;Rupee;microchip;../fake-data/blob/hipster.png;image/png;94186;true
3;improvement Lead;Granite;../fake-data/blob/hipster.png;image/png;75616;true
4;invoice;non-volatile Shirt overriding;../fake-data/blob/hipster.png;image/png;41550;false
5;client-driven multi-state Rubber;Grenada;../fake-data/blob/hipster.png;image/png;48764;false
6;directional user-facing Soap;Burkina Fantastic;../fake-data/blob/hipster.png;image/png;53923;true
7;Avon upward-trending encryption;Comoros;../fake-data/blob/hipster.png;image/png;70352;true
8;heuristic;payment bandwidth;../fake-data/blob/hipster.png;image/png;69160;false
9;green;index Generic Iowa;../fake-data/blob/hipster.png;image/png;76891;false
10;local expedite Card;Cotton cyan Computer;../fake-data/blob/hipster.png;image/png;22630;false
