id;nome;descricao;imagem;imagem_content_type;preco;promocao
1;Automated redefine;Liaison PNG Checking;../fake-data/blob/hipster.png;image/png;24972;true
2;bluetooth Future Account;Compatible Kip;../fake-data/blob/hipster.png;image/png;49096;false
3;portals;Distributed;../fake-data/blob/hipster.png;image/png;445;false
4;Borders methodologies;hacking;../fake-data/blob/hipster.png;image/png;13143;false
5;Dynamic Avon;SDD payment;../fake-data/blob/hipster.png;image/png;32279;true
6;IB;Kentucky;../fake-data/blob/hipster.png;image/png;24003;true
7;Corporate Inverse policy;navigate;../fake-data/blob/hipster.png;image/png;41811;true
8;THX;Knolls;../fake-data/blob/hipster.png;image/png;73030;false
9;Bacon bandwidth Illinois;metrics;../fake-data/blob/hipster.png;image/png;18153;false
10;24/7;Dynamic;../fake-data/blob/hipster.png;image/png;56975;false
